Sport,Event
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay
Art Competitions,"Art Competitions Mixed Sculpturing, Statues"
Art Competitions,"Art Competitions Mixed Painting, Paintings"
Figure Skating,Figure Skating Mixed Pairs
Modern Pentathlon,Modern Pentathlon Men's Individual
Skeleton,Skeleton Men's Skeleton
Athletics,Athletics Women's 100 metres
Cycling,Cycling Men's Sprint
Athletics,Athletics Women's 80 metres Hurdles
Athletics,Athletics Women's High Jump
Athletics,Athletics Women's Long Jump
Diving,Diving Women's Platform
Athletics,Athletics Men's Hammer Throw
Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
Art Competitions,"Art Competitions Mixed Literature, Unknown Event"
Art Competitions,"Art Competitions Mixed Music, Vocals"
Bobsleigh,Bobsleigh Men's Two
Art Competitions,"Art Competitions Mixed Literature, Dramatic Works"
Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Plaques"
Athletics,Athletics Women's Shot Put
Weightlifting,Weightlifting Men's Light-Heavyweight
Athletics,Athletics Women's 200 metres
Weightlifting,Weightlifting Men's Middleweight
Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres"
Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs"
Equestrianism,"Equestrianism Men's Dressage, Individual"
Equestrianism,"Equestrianism Men's Dressage, Team"
Rowing,Rowing Men's Coxless Pairs
Art Competitions,"Art Competitions Mixed Literature, Epic Works"
Rowing,Rowing Men's Single Sculls
Figure Skating,Figure Skating Men's Singles
Athletics,Athletics Men's Marathon
Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
Weightlifting,Weightlifting Men's Bantamweight
Boxing,Boxing Men's Middleweight
Athletics,"Athletics Men's 3,000 metres Steeplechase"
Athletics,Athletics Men's 10 kilometres Walk
Art Competitions,"Art Competitions Mixed Music, Instrumental And Chamber"
Wrestling,"Wrestling Men's Lightweight, Greco-Roman"
Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres"
Wrestling,"Wrestling Men's Heavyweight, Greco-Roman"
Art Competitions,"Art Competitions Mixed Sculpturing, Reliefs"
Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning"
Shooting,Shooting Men's Trap
Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
Gymnastics,Gymnastics Women's Individual All-Around
Gymnastics,Gymnastics Women's Team Portable Apparatus
Gymnastics,Gymnastics Women's Floor Exercise
Gymnastics,Gymnastics Women's Horse Vault
Gymnastics,Gymnastics Women's Uneven Bars
Gymnastics,Gymnastics Women's Balance Beam
Boxing,Boxing Men's Light-Welterweight
Alpine Skiing,Alpine Skiing Women's Giant Slalom
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres
Sailing,Sailing Mixed 5.5 metres
Weightlifting,Weightlifting Men's Middle-Heavyweight
Modern Pentathlon,Modern Pentathlon Men's Team
Alpine Skiing,Alpine Skiing Men's Giant Slalom
Shooting,"Shooting Men's Running Target, Single And Double Shot"
Equestrianism,"Equestrianism Mixed Dressage, Individual"
Equestrianism,"Equestrianism Mixed Dressage, Team"
Boxing,Boxing Men's Light-Middleweight
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres
Cross Country Skiing,Cross Country Skiing Men's 30 kilometres
Athletics,Athletics Men's 20 kilometres Walk
Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay
Swimming,Swimming Men's 200 metres Butterfly
Equestrianism,"Equestrianism Mixed Jumping, Individual"
Equestrianism,"Equestrianism Mixed Jumping, Team"
Swimming,Swimming Women's 100 metres Butterfly
Sailing,Sailing Mixed Two Person Heavyweight Dinghy
Cycling,Cycling Men's 100 kilometres Team Time Trial
Biathlon,Biathlon Men's 20 kilometres
Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres
Swimming,Swimming Women's 4 x 100 metres Medley Relay
Speed Skating,Speed Skating Women's 500 metres
Speed Skating,"Speed Skating Women's 1,000 metres"
Speed Skating,"Speed Skating Women's 1,500 metres"
Speed Skating,"Speed Skating Women's 3,000 metres"
Swimming,Swimming Men's 4 x 100 metres Medley Relay
Fencing,"Fencing Women's Foil, Team"
Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
Athletics,Athletics Women's 800 metres
Volleyball,Volleyball Women's Volleyball
Cross Country Skiing,Cross Country Skiing Women's 5 kilometres
Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
Ski Jumping,"Ski Jumping Men's Large Hill, Individual"
Swimming,Swimming Men's 400 metres Individual Medley
Luge,Luge Men's Singles
Luge,Luge Mixed (Men)'s Doubles
Athletics,Athletics Women's 400 metres
Luge,Luge Women's Singles
Equestrianism,"Equestrianism Mixed Three-Day Event, Individual"
Equestrianism,"Equestrianism Mixed Three-Day Event, Team"
Judo,Judo Men's Lightweight
Cycling,"Cycling Men's Individual Pursuit, 4,000 metres"
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
Volleyball,Volleyball Men's Volleyball
Judo,Judo Men's Middleweight
Swimming,Swimming Women's 400 metres Individual Medley
Swimming,Swimming Men's 200 metres Backstroke
Athletics,Athletics Women's Pentathlon
Judo,Judo Men's Open Class
Judo,Judo Men's Heavyweight
Swimming,Swimming Men's 200 metres Freestyle
Shooting,"Shooting Mixed Free Pistol, 50 metres"
Swimming,Swimming Men's 100 metres Butterfly
Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres"
Swimming,Swimming Men's 200 metres Individual Medley
Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
Boxing,Boxing Men's Light-Flyweight
Shooting,Shooting Mixed Trap
Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
Shooting,Shooting Mixed Skeet
Swimming,Swimming Women's 800 metres Freestyle
Swimming,Swimming Women's 200 metres Butterfly
Swimming,Swimming Women's 200 metres Backstroke
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay
Swimming,Swimming Women's 200 metres Individual Medley
Swimming,Swimming Men's 100 metres Breaststroke
Swimming,Swimming Women's 200 metres Freestyle
Swimming,Swimming Women's 100 metres Breaststroke
Handball,Handball Men's Handball
Athletics,Athletics Women's 4 x 400 metres Relay
Judo,Judo Men's Half-Heavyweight
Archery,Archery Women's Individual
Archery,Archery Men's Individual
Canoeing,"Canoeing Men's Canadian Singles, Slalom"
Weightlifting,Weightlifting Men's Super-Heavyweight
Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman"
Canoeing,"Canoeing Men's Canadian Doubles, Slalom"
Athletics,"Athletics Women's 1,500 metres"
Athletics,Athletics Women's 100 metres Hurdles
Judo,Judo Men's Half-Middleweight
Shooting,"Shooting Mixed Running Target, 50 metres"
Wrestling,"Wrestling Men's Light-Flyweight, Freestyle"
Canoeing,"Canoeing Women's Kayak Singles, Slalom"
Canoeing,"Canoeing Men's Kayak Singles, Slalom"
Weightlifting,Weightlifting Men's Flyweight
Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman"
Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle"
Rowing,Rowing Women's Coxed Eights
Rowing,Rowing Women's Coxed Quadruple Sculls
Rowing,Rowing Women's Single Sculls
Canoeing,"Canoeing Men's Canadian Doubles, 500 metres"
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay
Canoeing,"Canoeing Men's Canadian Singles, 500 metres"
Speed Skating,"Speed Skating Men's 1,000 metres"
Canoeing,"Canoeing Men's Kayak Doubles, 500 metres"
Handball,Handball Women's Handball
Basketball,Basketball Women's Basketball
Sailing,Sailing Mixed Two Person Dinghy
Figure Skating,Figure Skating Mixed Ice Dancing
Rowing,Rowing Women's Coxed Fours
Sailing,Sailing Mixed Multihull
Rowing,Rowing Men's Quadruple Sculls
Rowing,Rowing Women's Double Sculls
Rowing,Rowing Women's Coxless Pairs
Canoeing,"Canoeing Men's Kayak Singles, 500 metres"
Biathlon,Biathlon Men's 10 kilometres Sprint
Hockey,Hockey Women's Hockey
Judo,Judo Men's Half-Lightweight
Judo,Judo Men's Extra-Lightweight
Weightlifting,Weightlifting Men's Heavyweight I
Weightlifting,Weightlifting Men's Heavyweight II
Athletics,"Athletics Women's 3,000 metres"
Cycling,"Cycling Women's Road Race, Individual"
Shooting,"Shooting Men's Running Target, 50 metres"
Shooting,"Shooting Women's Sporting Pistol, 25 metres"
Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual
Shooting,"Shooting Men's Air Rifle, 10 metres"
Sailing,Sailing Men's Windsurfer
Cycling,Cycling Men's Points Race
Synchronized Swimming,Synchronized Swimming Women's Solo
Athletics,Athletics Women's Marathon
Athletics,Athletics Women's Heptathlon
Canoeing,"Canoeing Women's Kayak Fours, 500 metres"
Cross Country Skiing,Cross Country Skiing Women's 20 kilometres
Synchronized Swimming,Synchronized Swimming Women's Duet
Shooting,"Shooting Women's Air Rifle, 10 metres"
Athletics,Athletics Women's 400 metres Hurdles
Boxing,Boxing Men's Super-Heavyweight
Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
Tennis,Tennis Men's Singles
Nordic Combined,Nordic Combined Men's Team
Swimming,Swimming Women's 50 metres Freestyle
Tennis,Tennis Men's Doubles
Shooting,"Shooting Men's Air Pistol, 10 metres"
Table Tennis,Table Tennis Men's Doubles
Sailing,Sailing Women's Two Person Dinghy
Shooting,"Shooting Women's Air Pistol, 10 metres"
Table Tennis,Table Tennis Women's Singles
Table Tennis,Table Tennis Women's Doubles
Sailing,Sailing Mixed Windsurfer
Swimming,Swimming Men's 50 metres Freestyle
Table Tennis,Table Tennis Men's Singles
Athletics,"Athletics Women's 10,000 metres"
Alpine Skiing,Alpine Skiing Men's Super G
Rowing,Rowing Women's Quadruple Sculls
Archery,Archery Men's Team
Archery,Archery Women's Team
Alpine Skiing,Alpine Skiing Women's Super G
Sailing,Sailing Men's Two Person Dinghy
Ski Jumping,"Ski Jumping Men's Large Hill, Team"
Tennis,Tennis Women's Singles
Tennis,Tennis Women's Doubles
Speed Skating,"Speed Skating Women's 5,000 metres"
Cycling,Cycling Women's Sprint
Cross Country Skiing,Cross Country Skiing Men's 10 kilometres
Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit
Badminton,Badminton Women's Singles
Freestyle Skiing,Freestyle Skiing Men's Moguls
Biathlon,Biathlon Women's 7.5 kilometres Sprint
Biathlon,Biathlon Women's 15 kilometres
Biathlon,Biathlon Women's 3 x 7.5 kilometres Relay
Baseball,Baseball Men's Baseball
